Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Alternative Investment Funds,"regulation ,2012()",116aaddb5ae47cf89d74998effbaf48e.docx,"['investment', 'funds', 'alternative', 'deployment', 'objective']"
Alternative Investment Funds,regulation  15(1),116aaddb5ae47cf89d74998effbaf48e.docx,"['funds', 'deposits', 'commercial', 'cblos', 'treasury']"
Substantial Acquisition of Shares and Takeovers,regulation  10),13e7486e2d1c6df7952634bf4579f289.docx,"['shares', 'guidance', 'request', 'letter', 'substantial']"
Substantial Acquisition of Shares and Takeovers,regulation  10(i),13e7486e2d1c6df7952634bf4579f289.docx,"['persons', 'acquisition', 'takeovers', 'com', 'ntottcciiatc']"
Substantial Acquisition of Shares and Takeovers,regulation  1001(3),13e7486e2d1c6df7952634bf4579f289.docx,"['fora', 'company', 'transfer', 'shares', 'exemption']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),13e7486e2d1c6df7952634bf4579f289.docx,"['exemption', 'shares', 'interpretation', 'guptacommercial', 'kailash']"
Prohibition of Insider Trading,regulation  2011),13e7486e2d1c6df7952634bf4579f289.docx,"['interpretation', 'transaction', 'ownership', 'group', 'laws']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",1404899cd4a9750e84fe7bf788a23b00.docx,"['letter', 'company', 'scheme', 'gupta', 'substantial']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),1404899cd4a9750e84fe7bf788a23b00.docx,"['requirement', 'shares', 'reference', 'company', 'promoters']"
Substantial Acquisition of Shares and Takeovers,regulation  3(e),1404899cd4a9750e84fe7bf788a23b00.docx,"['shares', 'requirement', 'parties', 'years', 'acquisition']"
Share Based Employee Benefits,regulation  1(3),168d1346ef6d2b65fd67ab8e01c52cdb.docx,"['company', 'provisions', 'stock', 'scheme', 'shares']"
Share Based Employee Benefits,regulation  1(4),168d1346ef6d2b65fd67ab8e01c52cdb.docx,"['company', 'employee', 'india', 'director', 'stock']"
Issue of Capital and Disclosure Requirements,regulation  167(6),17af7e8e3eeca19316996627be138ef4.docx,"['guidance', 'matter', 'jindal', 'letter', 'shares']"
Issue of Capital and Disclosure Requirements,regulation  78(6),17af7e8e3eeca19316996627be138ef4.docx,"['holding', 'guidance', 'allotment', 'promoters', 'approval']"
Issue of Capital and Disclosure Requirements,"regulation ,2009)",17af7e8e3eeca19316996627be138ef4.docx,"['issue', 'capital', 'shares', 'listing', 'conversion']"
Issue of Capital and Disclosure Requirements,regulation  108(2),17aa85b51f9d3e12b43132a6839ad9a2.docx,"['days', 'bse', 'nse', 'shares', 'terms']"
Issue of Capital and Disclosure Requirements,regulation  108),17aa85b51f9d3e12b43132a6839ad9a2.docx,"['shares', 'stock', 'abeyance', 'rights', 'issue']"
Listing Obligations and Disclosure Requirements,regulation  108),17aa85b51f9d3e12b43132a6839ad9a2.docx,"['listing', 'obligations', 'disclosure', 'requirements', 'chapter']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011("")",19615fccc12999e039135a3e3003b706.docx,"['limited', 'guidance', 'dlf', 'letter', 'way']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),19615fccc12999e039135a3e3003b706.docx,"['change', 'requirements', 'offer', 'trust', 'beneficiaries']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),19cede6d91bbc8d2402ecb394110656b.docx,"['company', 'guidance', 'target', 'scheme', 'letter']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011("")",19cede6d91bbc8d2402ecb394110656b.docx,"['guidance', 'letter', 'way', 'entities', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  10),19cede6d91bbc8d2402ecb394110656b.docx,"['company', 'scheme', 'target', 'letter', 'transfer']"
Issue of Capital and Disclosure Requirements,regulation  74),1a5c23fb5e43a73ca99927eb8f3e2532.docx,"['limited', 'warrants', 'letter', 'annexure', 'convertible']"
Issue of Capital and Disclosure Requirements,"regulation ,2009)",1a5c23fb5e43a73ca99927eb8f3e2532.docx,"['limited', 'warrants', 'letter', 'annexure', 'convertible']"
Issue of Capital and Disclosure Requirements,regulation  76),1a5c23fb5e43a73ca99927eb8f3e2532.docx,"['limited', 'warrants', 'letter', 'annexure', 'convertible']"
Issue of Capital and Disclosure Requirements,regulation  72(2),1a5c23fb5e43a73ca99927eb8f3e2532.docx,"['equity', 'shares', 'issuer', 'promoter', 'alloys']"
Issue of Capital and Disclosure Requirements,regulation  78),1a5c23fb5e43a73ca99927eb8f3e2532.docx,"['promoter', 'group', 'equity', 'basis', 'shares']"
Alternative Investment Funds,regulation  15(l),1ac0bbdffc9d9c5e7ac1632b6b5a52df.docx,"['crore', 'inr', 'fund', 'funds', 'portfolio']"
Alternative Investment Funds,regulation  2(i),1ac0bbdffc9d9c5e7ac1632b6b5a52df.docx,"['inr', 'portfolio', 'crore', 'companies', 'meansdia']"
